standings__league,standings__teamId,Team,Wins,Losses,Rank,standings__seasonYear,Conference,Conference Rank
standard,21,Milwaukee Bucks,60,22,1,2018-2019,east,1
standard,38,Toronto Raptors,58,24,2,2018-2019,east,2
standard,11,Golden State Warriors,57,25,3,2018-2019,west,1
standard,9,Denver Nuggets,54,28,4,2018-2019,west,2
standard,14,Houston Rockets,53,29,5,2018-2019,west,4
standard,29,Portland Trail Blazers,53,29,6,2018-2019,west,3
standard,27,Philadelphia 76ers,51,31,7,2018-2019,east,3
standard,40,Utah Jazz,50,32,8,2018-2019,west,5
standard,2,Boston Celtics,49,33,9,2018-2019,east,4
standard,25,Oklahoma City Thunder,49,33,10,2018-2019,west,6
standard,15,Indiana Pacers,48,34,11,2018-2019,east,5
standard,31,San Antonio Spurs,48,34,12,2018-2019,west,7
standard,16,LA Clippers,48,34,13,2018-2019,west,8
standard,26,Orlando Magic,42,40,14,2018-2019,east,7
standard,4,Brooklyn Nets,42,40,15,2018-2019,east,6
standard,10,Detroit Pistons,41,41,16,2018-2019,east,8
standard,5,Charlotte Hornets,39,43,17,2018-2019,east,9
standard,20,Miami Heat,39,43,18,2018-2019,east,10
standard,30,Sacramento Kings,39,43,19,2018-2019,west,9
standard,17,Los Angeles Lakers,37,45,20,2018-2019,west,10
standard,22,Minnesota Timberwolves,36,46,21,2018-2019,west,11
standard,8,Dallas Mavericks,33,49,22,2018-2019,west,14
standard,19,Memphis Grizzlies,33,49,23,2018-2019,west,12
standard,23,New Orleans Pelicans,33,49,24,2018-2019,west,13
standard,41,Washington Wizards,32,50,25,2018-2019,east,11
standard,1,Atlanta Hawks,29,53,26,2018-2019,east,12
standard,6,Chicago Bulls,22,60,27,2018-2019,east,13
standard,7,Cleveland Cavaliers,19,63,28,2018-2019,east,14
standard,28,Phoenix Suns,19,63,29,2018-2019,west,15
standard,24,New York Knicks,17,65,30,2018-2019,east,15