,0,Team,Real Team Name,Cleaned Blurb
92,Executive: Jeff Weltman,ORL,Orlando Magic,Executive: Jeff Weltman
93,"
PTS/G: 
      107.3 (24th of 30)
      Opp PTS/G: 
      106.6 (5th of 30)
    ",ORL,Orlando Magic,PTS/G: 107.3 (24th of 30) Opp PTS/G: 106.6 (5th of 30)
94,"
SRS: 0.28 (14th of 30)
      
      Pace: 98.1 (25th of 30)
    ",ORL,Orlando Magic,SRS: 0.28 (14th of 30) Pace: 98.1 (25th of 30)
95,"
Off Rtg: 108.9 (22nd of 30)
      Def Rtg: 108.1 (8th of 30)
    ",ORL,Orlando Magic,Off Rtg: 108.9 (22nd of 30) Def Rtg: 108.1 (8th of 30)
96,"
Record:
    
      19-63, Finished 15th in NBA 
     Western Conference    
    
    
    
    
",PHO,Phoenix Suns,"Record: 19-63, Finished 15th in NBA Western Conference"
97,Coach: Igor Kokoskov (19-63),PHO,Phoenix Suns,Coach: Igor Kokoskov (19-63)
98,"Executive: James Jones, Trevor Bukstein",PHO,Phoenix Suns,"Executive: James Jones, Trevor Bukstein"
99,"
PTS/G: 
      107.5 (23rd of 30)
      Opp PTS/G: 
      116.8 (28th of 30)
    ",PHO,Phoenix Suns,PTS/G: 107.5 (23rd of 30) Opp PTS/G: 116.8 (28th of 30)
100,"
SRS: -8.61 (28th of 30)
      
      Pace: 100.5 (12th of 30)
    ",PHO,Phoenix Suns,SRS: -8.61 (28th of 30) Pace: 100.5 (12th of 30)
101,"
Off Rtg: 105.9 (28th of 30)
      Def Rtg: 115.1 (29th of 30)
    ",PHO,Phoenix Suns,Off Rtg: 105.9 (28th of 30) Def Rtg: 115.1 (29th of 30)
102,"
Record:
    
      39-43, Finished 9th in NBA 
     Western Conference    
    
    
    
    
",SAC,Sacramento Kings,"Record: 39-43, Finished 9th in NBA Western Conference"
103,Coach: Dave Joerger (39-43),SAC,Sacramento Kings,Coach: Dave Joerger (39-43)
104,Executive: Vlade Divac,SAC,Sacramento Kings,Executive: Vlade Divac
105,"
PTS/G: 
      114.2 (9th of 30)
      Opp PTS/G: 
      115.3 (26th of 30)
    ",SAC,Sacramento Kings,PTS/G: 114.2 (9th of 30) Opp PTS/G: 115.3 (26th of 30)
106,"
SRS: -0.81 (18th of 30)
      
      Pace: 103.1 (5th of 30)
    ",SAC,Sacramento Kings,SRS: -0.81 (18th of 30) Pace: 103.1 (5th of 30)
107,"
Off Rtg: 110.4 (16th of 30)
      Def Rtg: 111.5 (20th of 30)
    ",SAC,Sacramento Kings,Off Rtg: 110.4 (16th of 30) Def Rtg: 111.5 (20th of 30)
108,"
Record:
    
      41-41, Finished 8th in NBA 
     Eastern Conference    
    
    
    
    
",DET,Detroit Pistons,"Record: 41-41, Finished 8th in NBA Eastern Conference"
109,Coach: Dwane Casey (41-41),DET,Detroit Pistons,Coach: Dwane Casey (41-41)
110,Executive: Ed Stefanski,DET,Detroit Pistons,Executive: Ed Stefanski
111,"
PTS/G: 
      107.0 (25th of 30)
      Opp PTS/G: 
      107.3 (7th of 30)
    ",DET,Detroit Pistons,PTS/G: 107.0 (25th of 30) Opp PTS/G: 107.3 (7th of 30)
112,"
SRS: -0.56 (17th of 30)
      
      Pace: 97.4 (28th of 30)
    ",DET,Detroit Pistons,SRS: -0.56 (17th of 30) Pace: 97.4 (28th of 30)
113,"
Off Rtg: 109.0 (21st of 30)
      Def Rtg: 109.2 (11th of 30)
    ",DET,Detroit Pistons,Off Rtg: 109.0 (21st of 30) Def Rtg: 109.2 (11th of 30)
114,"
Record:
    
      36-46, Finished 11th in NBA 
     Western Conference    
    
    
    
    
",MIN,Minnesota Timberwolves,"Record: 36-46, Finished 11th in NBA Western Conference"
115,"Coach: Tom Thibodeau (19-21), Ryan Saunders (17-25)",MIN,Minnesota Timberwolves,"Coach: Tom Thibodeau (19-21), Ryan Saunders (17-25)"
116,"Executive: Tom Thibodeau, Scott Layden",MIN,Minnesota Timberwolves,"Executive: Tom Thibodeau, Scott Layden"
117,"
PTS/G: 
      112.5 (13th of 30)
      Opp PTS/G: 
      114.0 (23rd of 30)
    ",MIN,Minnesota Timberwolves,PTS/G: 112.5 (13th of 30) Opp PTS/G: 114.0 (23rd of 30)
118,"
SRS: -1.02 (20th of 30)
      
      Pace: 100.2 (14th of 30)
    ",MIN,Minnesota Timberwolves,SRS: -1.02 (20th of 30) Pace: 100.2 (14th of 30)
119,"
Off Rtg: 111.4 (11th of 30)
      Def Rtg: 112.9 (24th of 30)
    ",MIN,Minnesota Timberwolves,Off Rtg: 111.4 (11th of 30) Def Rtg: 112.9 (24th of 30)
120,"
Record:
    
      53-29, Finished 3rd in NBA 
     Western Conference    
    
    
    
    
",POR,Portland Trail Blazers,"Record: 53-29, Finished 3rd in NBA Western Conference"
121,Coach: Terry Stotts (53-29),POR,Portland Trail Blazers,Coach: Terry Stotts (53-29)
122,Executive: Neil Olshey,POR,Portland Trail Blazers,Executive: Neil Olshey
123,"
PTS/G: 
      114.7 (6th of 30)
      Opp PTS/G: 
      110.5 (14th of 30)
    ",POR,Portland Trail Blazers,PTS/G: 114.7 (6th of 30) Opp PTS/G: 110.5 (14th of 30)
124,"
SRS: 4.43 (6th of 30)
      
      Pace: 99.1 (18th of 30)
    ",POR,Portland Trail Blazers,SRS: 4.43 (6th of 30) Pace: 99.1 (18th of 30)
125,"
Off Rtg: 114.7 (3rd of 30)
      Def Rtg: 110.5 (16th of 30)
    ",POR,Portland Trail Blazers,Off Rtg: 114.7 (3rd of 30) Def Rtg: 110.5 (16th of 30)
126,"
Record:
    
      22-60, Finished 13th in NBA 
     Eastern Conference    
    
    
    
    
",CHI,Chicago Bulls,"Record: 22-60, Finished 13th in NBA Eastern Conference"
127,"Coach: Fred Hoiberg (5-19), Jim Boylen (17-41)",CHI,Chicago Bulls,"Coach: Fred Hoiberg (5-19), Jim Boylen (17-41)"
128,Executive: Gar Forman,CHI,Chicago Bulls,Executive: Gar Forman
129,"
PTS/G: 
      104.9 (27th of 30)
      Opp PTS/G: 
      113.4 (20th of 30)
    ",CHI,Chicago Bulls,PTS/G: 104.9 (27th of 30) Opp PTS/G: 113.4 (20th of 30)
130,"
SRS: -8.32 (27th of 30)
      
      Pace: 99.0 (19th of 30)
    ",CHI,Chicago Bulls,SRS: -8.32 (27th of 30) Pace: 99.0 (19th of 30)
131,"
Off Rtg: 104.8 (29th of 30)
      Def Rtg: 113.2 (25th of 30)
    ",CHI,Chicago Bulls,Off Rtg: 104.8 (29th of 30) Def Rtg: 113.2 (25th of 30)
132,"
Record:
    
      48-34, Finished 7th in NBA 
     Western Conference    
    
    
    
    
",SAS,San Antonio Spurs,"Record: 48-34, Finished 7th in NBA Western Conference"
133,Coach: Gregg Popovich (48-34),SAS,San Antonio Spurs,Coach: Gregg Popovich (48-34)
134,Executive: R.C. Buford,SAS,San Antonio Spurs,Executive: R.C. Buford
135,"
PTS/G: 
      111.7 (18th of 30)
      Opp PTS/G: 
      110.0 (12th of 30)
    ",SAS,San Antonio Spurs,PTS/G: 111.7 (18th of 30) Opp PTS/G: 110.0 (12th of 30)
136,"
SRS: 1.80 (12th of 30)
      
      Pace: 98.3 (22nd of 30)
    ",SAS,San Antonio Spurs,SRS: 1.80 (12th of 30) Pace: 98.3 (22nd of 30)
137,"
Off Rtg: 112.9 (7th of 30)
      Def Rtg: 111.2 (19th of 30)
    ",SAS,San Antonio Spurs,Off Rtg: 112.9 (7th of 30) Def Rtg: 111.2 (19th of 30)
138,"
Record:
    
      33-49, Finished 12th in NBA 
     Western Conference    
    
    
    
    
",MEM,Memphis Grizzlies,"Record: 33-49, Finished 12th in NBA Western Conference"
139,Coach: J.B. Bickerstaff (33-49),MEM,Memphis Grizzlies,Coach: J.B. Bickerstaff (33-49)
140,Executive: Chris Wallace,MEM,Memphis Grizzlies,Executive: Chris Wallace
141,"
PTS/G: 
      103.5 (30th of 30)
      Opp PTS/G: 
      106.1 (3rd of 30)
    ",MEM,Memphis Grizzlies,PTS/G: 103.5 (30th of 30) Opp PTS/G: 106.1 (3rd of 30)
142,"
SRS: -2.08 (24th of 30)
      
      Pace: 96.6 (30th of 30)
    ",MEM,Memphis Grizzlies,SRS: -2.08 (24th of 30) Pace: 96.6 (30th of 30)
143,"
Off Rtg: 106.1 (27th of 30)
      Def Rtg: 108.8 (9th of 30)
    ",MEM,Memphis Grizzlies,Off Rtg: 106.1 (27th of 30) Def Rtg: 108.8 (9th of 30)
144,"
Record:
    
      32-50, Finished 11th in NBA 
     Eastern Conference    
    
    
    
    
",WAS,Washington Wizards,"Record: 32-50, Finished 11th in NBA Eastern Conference"
145,Coach: Scott Brooks (32-50),WAS,Washington Wizards,Coach: Scott Brooks (32-50)
146,"Executive: Ernie Grunfeld, Tommy Sheppard",WAS,Washington Wizards,"Executive: Ernie Grunfeld, Tommy Sheppard"
147,"
PTS/G: 
      114.0 (10th of 30)
      Opp PTS/G: 
      116.9 (29th of 30)
    ",WAS,Washington Wizards,PTS/G: 114.0 (10th of 30) Opp PTS/G: 116.9 (29th of 30)
148,"
SRS: -3.30 (25th of 30)
      
      Pace: 101.4 (9th of 30)
    ",WAS,Washington Wizards,SRS: -3.30 (25th of 30) Pace: 101.4 (9th of 30)
149,"
Off Rtg: 111.1 (14th of 30)
      Def Rtg: 113.9 (28th of 30)
    ",WAS,Washington Wizards,Off Rtg: 111.1 (14th of 30) Def Rtg: 113.9 (28th of 30)
150,"
Record:
    
      29-53, Finished 12th in NBA 
     Eastern Conference    
    
    
    
    
",ATL,Atlanta Hawks,"Record: 29-53, Finished 12th in NBA Eastern Conference"
151,Coach: Lloyd Pierce (29-53),ATL,Atlanta Hawks,Coach: Lloyd Pierce (29-53)
152,Executive: Travis Schlenk,ATL,Atlanta Hawks,Executive: Travis Schlenk
153,"
PTS/G: 
      113.3 (12th of 30)
      Opp PTS/G: 
      119.4 (30th of 30)
    ",ATL,Atlanta Hawks,PTS/G: 113.3 (12th of 30) Opp PTS/G: 119.4 (30th of 30)
154,"
SRS: -6.06 (26th of 30)
      
      Pace: 103.9 (1st of 30)
    ",ATL,Atlanta Hawks,SRS: -6.06 (26th of 30) Pace: 103.9 (1st of 30)
155,"
Off Rtg: 108.1 (23rd of 30)
      Def Rtg: 113.9 (27th of 30)
    ",ATL,Atlanta Hawks,Off Rtg: 108.1 (23rd of 30) Def Rtg: 113.9 (27th of 30)
156,"
Record:
    
      33-49, Finished 13th in NBA 
     Western Conference    
    
    
    
    
",NOP,New Orleans Pelicans,"Record: 33-49, Finished 13th in NBA Western Conference"
157,Coach: Alvin Gentry (33-49),NOP,New Orleans Pelicans,Coach: Alvin Gentry (33-49)
158,"Executive: Dell Demps, Danny Ferry",NOP,New Orleans Pelicans,"Executive: Dell Demps, Danny Ferry"
159,"
PTS/G: 
      115.4 (3rd of 30)
      Opp PTS/G: 
      116.8 (27th of 30)
    ",NOP,New Orleans Pelicans,PTS/G: 115.4 (3rd of 30) Opp PTS/G: 116.8 (27th of 30)
160,"
SRS: -1.10 (21st of 30)
      
      Pace: 103.3 (3rd of 30)
    ",NOP,New Orleans Pelicans,SRS: -1.10 (21st of 30) Pace: 103.3 (3rd of 30)
161,"
Off Rtg: 111.4 (13th of 30)
      Def Rtg: 112.6 (23rd of 30)
    ",NOP,New Orleans Pelicans,Off Rtg: 111.4 (13th of 30) Def Rtg: 112.6 (23rd of 30)
162,"
Record:
    
      19-63, Finished 14th in NBA 
     Eastern Conference    
    
    
    
    
",CLE,Cleveland Cavaliers,"Record: 19-63, Finished 14th in NBA Eastern Conference"
163,"Coach: Tyronn Lue (0-6), Larry Drew (19-57)",CLE,Cleveland Cavaliers,"Coach: Tyronn Lue (0-6), Larry Drew (19-57)"
164,Executive: Koby Altman,CLE,Cleveland Cavaliers,Executive: Koby Altman
165,"
PTS/G: 
      104.5 (29th of 30)
      Opp PTS/G: 
      114.1 (24th of 30)
    ",CLE,Cleveland Cavaliers,PTS/G: 104.5 (29th of 30) Opp PTS/G: 114.1 (24th of 30)
166,"
SRS: -9.39 (30th of 30)
      
      Pace: 96.6 (29th of 30)
    ",CLE,Cleveland Cavaliers,SRS: -9.39 (30th of 30) Pace: 96.6 (29th of 30)
167,"
Off Rtg: 107.7 (25th of 30)
      Def Rtg: 117.6 (30th of 30)
    ",CLE,Cleveland Cavaliers,Off Rtg: 107.7 (25th of 30) Def Rtg: 117.6 (30th of 30)
168,"
Record:
    
      57-25, Finished 1st in NBA 
     Western Conference    
    
    
    
    
",GSW,Golden State Warriors,"Record: 57-25, Finished 1st in NBA Western Conference"
169,Coach: Steve Kerr (57-25),GSW,Golden State Warriors,Coach: Steve Kerr (57-25)
170,Executive: Bob Myers,GSW,Golden State Warriors,Executive: Bob Myers
171,"
PTS/G: 
      117.7 (2nd of 30)
      Opp PTS/G: 
      111.2 (16th of 30)
    ",GSW,Golden State Warriors,PTS/G: 117.7 (2nd of 30) Opp PTS/G: 111.2 (16th of 30)
172,"
SRS: 6.42 (2nd of 30)
      
      Pace: 100.9 (10th of 30)
    ",GSW,Golden State Warriors,SRS: 6.42 (2nd of 30) Pace: 100.9 (10th of 30)
173,"
Off Rtg: 115.9 (1st of 30)
      Def Rtg: 109.5 (13th of 30)
    ",GSW,Golden State Warriors,Off Rtg: 115.9 (1st of 30) Def Rtg: 109.5 (13th of 30)
174,"
Record:
    
      17-65, Finished 15th in NBA 
     Eastern Conference    
    
    
    
    
",NYK,New York Knicks,"Record: 17-65, Finished 15th in NBA Eastern Conference"
175,Coach: David Fizdale (17-65),NYK,New York Knicks,Coach: David Fizdale (17-65)
176,Executive: Steve Mills,NYK,New York Knicks,Executive: Steve Mills
177,"
PTS/G: 
      104.6 (28th of 30)
      Opp PTS/G: 
      113.8 (22nd of 30)
    ",NYK,New York Knicks,PTS/G: 104.6 (28th of 30) Opp PTS/G: 113.8 (22nd of 30)
178,"
SRS: -8.93 (29th of 30)
      
      Pace: 99.6 (17th of 30)
    ",NYK,New York Knicks,SRS: -8.93 (29th of 30) Pace: 99.6 (17th of 30)
179,"
Off Rtg: 104.5 (30th of 30)
      Def Rtg: 113.7 (26th of 30)
    ",NYK,New York Knicks,Off Rtg: 104.5 (30th of 30) Def Rtg: 113.7 (26th of 30)