,Team,Logos
0,Los Angeles Lakers,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/LAL-2020.png
1,Milwaukee Bucks,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/MIL-2020.png
2,Los Angeles Clippers,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/LAC-2020.png
3,Miami Heat,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/MIA-2020.png
4,Philadelphia 76ers,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/PHI-2020.png
5,Boston Celtics,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/BOS-2020.png
6,Dallas Mavericks,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/DAL-2020.png
7,Houston Rockets,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/HOU-2020.png
8,Indiana Pacers,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/IND-2020.png
9,Toronto Raptors,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/TOR-2020.png
10,Denver Nuggets,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/DEN-2020.png
11,Utah Jazz,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/UTA-2020.png
12,Brooklyn Nets,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/BRK-2020.png
13,Charlotte Hornets,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/CHO-2020.png
14,Oklahoma City Thunder,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/OKC-2020.png
15,Orlando Magic,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/ORL-2020.png
16,Phoenix Suns,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/PHO-2020.png
17,Sacramento Kings,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/SAC-2020.png
18,Detroit Pistons,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/DET-2020.png
19,Minnesota Timberwolves,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/MIN-2020.png
20,Portland Trail Blazers,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/POR-2020.png
21,Chicago Bulls,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/CHI-2020.png
22,San Antonio Spurs,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/SAS-2020.png
23,Memphis Grizzlies,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/MEM-2020.png
24,Washington Wizards,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/WAS-2020.png
25,Atlanta Hawks,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/ATL-2020.png
26,New Orleans Pelicans,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/NOP-2020.png
27,Cleveland Cavaliers,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/CLE-2020.png
28,Golden State Warriors,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/GSW-2020.png
29,New York Knicks,https://d2p3bygnnzw9w3.cloudfront.net/req/202003242/tlogo/bbr/NYK-2020.png