Team,Wins,Losses,Rank,standings__seasonYear,Conference,Conference Rank
Milwaukee Bucks,60,22,1,2018-2019,East,1
Toronto Raptors,58,24,2,2018-2019,East,2
Golden State Warriors,57,25,3,2018-2019,West,1
Denver Nuggets,54,28,4,2018-2019,West,2
Houston Rockets,53,29,5,2018-2019,West,4
Portland Trail Blazers,53,29,6,2018-2019,West,3
Philadelphia 76ers,51,31,7,2018-2019,East,3
Utah Jazz,50,32,8,2018-2019,West,5
Boston Celtics,49,33,9,2018-2019,East,4
Oklahoma City Thunder,49,33,10,2018-2019,West,6
Indiana Pacers,48,34,11,2018-2019,East,5
San Antonio Spurs,48,34,12,2018-2019,West,7
LA Clippers,48,34,13,2018-2019,West,8
Orlando Magic,42,40,14,2018-2019,East,7
Brooklyn Nets,42,40,15,2018-2019,East,6
Detroit Pistons,41,41,16,2018-2019,East,8
Charlotte Hornets,39,43,17,2018-2019,East,9
Miami Heat,39,43,18,2018-2019,East,10
Sacramento Kings,39,43,19,2018-2019,West,9
Los Angeles Lakers,37,45,20,2018-2019,West,10
Minnesota Timberwolves,36,46,21,2018-2019,West,11
Dallas Mavericks,33,49,22,2018-2019,West,14
Memphis Grizzlies,33,49,23,2018-2019,West,12
New Orleans Pelicans,33,49,24,2018-2019,West,13
Washington Wizards,32,50,25,2018-2019,East,11
Atlanta Hawks,29,53,26,2018-2019,East,12
Chicago Bulls,22,60,27,2018-2019,East,13
Cleveland Cavaliers,19,63,28,2018-2019,East,14
Phoenix Suns,19,63,29,2018-2019,West,15
New York Knicks,17,65,30,2018-2019,East,15